# s_m,x_m,y_m,trac_dir,kappa_radpm,vx_mps,dist_left_m,dist_right_m
20.199879,18.493238,7.260254,2.699562,-0.899813,2.477193,1.081374,0.627485
20.299879,18.404851,7.306962,2.612157,-0.849334,2.555286,1.057722,0.674867
20.399878,18.320747,7.361008,2.529430,-0.806693,2.626745,1.050879,0.714318
20.499878,18.241274,7.421663,2.450487,-0.773916,2.685549,1.059003,0.747616
20.599877,18.166733,7.488289,2.374314,-0.750200,2.730425,0.995059,0.775691
20.699877,18.097396,7.560315,2.300396,-0.728532,2.773284,0.866750,0.799305
20.799876,18.033486,7.637200,2.228514,-0.709644,2.812204,0.763524,0.819073
20.899875,17.975190,7.718426,2.158339,-0.694549,2.844417,0.680054,0.839190
20.999875,17.922675,7.803504,2.089452,-0.684006,2.867534,0.611858,0.862826
21.099874,17.876094,7.891971,2.021977,-0.648365,2.949734,0.543107,0.882706
21.199874,17.835316,7.983261,1.961163,-0.567445,3.036675,0.488347,0.901274
21.299873,17.799778,8.076721,1.908519,-0.485555,3.133616,0.444547,0.919047
21.399872,17.768819,8.171799,1.863996,-0.405296,3.238757,0.409099,0.935950
21.499872,17.741739,8.268057,1.827369,-0.327719,3.350101,0.388319,0.951952
21.599871,17.717837,8.365155,1.797744,-0.285267,3.465779,0.373983,0.966994
21.699871,17.696747,8.462902,1.768661,-0.296424,3.578176,0.362966,0.981169
21.799870,17.678564,8.561230,1.738457,-0.307653,3.681296,0.355246,1.000170
21.899869,17.663414,8.660071,1.707132,-0.318837,3.775397,0.350300,1.016479
21.999869,17.651423,8.759345,1.674696,-0.329840,3.860613,0.344342,1.030169
22.099868,17.642707,8.858959,1.641485,-0.324345,3.939832,0.342051,1.041372
22.199868,17.637210,8.958803,1.610634,-0.292713,4.014892,0.343342,1.050692
22.299867,17.634638,9.058766,1.582934,-0.261349,4.092894,0.347833,1.058331
22.399866,17.634679,9.158764,1.558349,-0.230448,4.173230,0.351629,1.064022
22.499866,17.637025,9.258734,1.536827,-0.200084,4.255318,0.354252,1.065771
22.599865,17.641372,9.358637,1.518228,-0.174763,4.338613,0.358989,1.065985
22.699865,17.647469,9.458450,1.501651,-0.156758,4.421968,0.365562,1.064764
22.799864,17.655130,9.558154,1.486881,-0.138625,4.504239,0.373763,1.062193
22.899863,17.664172,9.657743,1.473928,-0.120431,4.585476,0.384147,1.058364
22.999863,17.674412,9.757216,1.462795,-0.102220,4.665674,0.395983,1.051070
23.099862,17.685669,9.856580,1.453507,-0.082787,4.744784,0.408826,1.024847
23.199862,17.697746,9.955847,1.446300,-0.061364,4.822820,0.422443,0.997108
23.299861,17.710433,10.055038,1.441234,-0.039942,4.899745,0.436589,0.968043
23.399860,17.723515,10.154178,1.438311,-0.018528,4.975303,0.450219,0.937882
23.499860,17.736782,10.253294,1.437528,0.002880,5.049215,0.463871,0.907066
23.599859,17.750019,10.352413,1.438881,0.023993,5.120886,0.477358,0.894611
23.699859,17.763019,10.451564,1.442313,0.044638,5.189824,0.490467,0.882182
23.799858,17.775577,10.550772,1.447809,0.065290,5.255654,0.502991,0.870014
23.899857,17.787486,10.650059,1.455370,0.085940,5.317943,0.512421,0.858351
23.999857,17.798542,10.749445,1.464996,0.106568,5.209910,0.520805,0.851052
24.099856,17.808538,10.848943,1.476684,0.127228,5.091699,0.528079,0.855855
24.199856,17.817267,10.948560,1.490448,0.148076,4.975410,0.534078,0.862166
24.299855,17.824520,11.048295,1.506301,0.169006,4.861302,0.538639,0.870275
24.399854,17.830087,11.148138,1.524250,0.189981,4.749539,0.543259,0.880495
24.499854,17.833756,11.248068,1.544296,0.210925,4.640174,0.547059,0.874526
24.599853,17.835316,11.348054,1.566431,0.231749,4.533128,0.548952,0.864732
24.699853,17.834559,11.448048,1.590655,0.252807,4.428403,0.548811,0.857622
24.799852,17.831274,11.547991,1.617003,0.274186,4.325981,0.546508,0.853518
24.899851,17.825251,11.647805,1.645499,0.295769,4.225716,0.541913,0.852704
24.999851,17.816278,11.747397,1.676157,0.317377,4.127272,0.555356,0.855565
25.099850,17.804150,11.846654,1.708968,0.338866,4.030091,0.567449,0.862547
25.199850,17.788665,11.945443,1.743957,0.361065,3.933967,0.576548,0.874091
25.299849,17.769624,12.043607,1.781208,0.384076,3.838647,0.582611,0.900913
25.399848,17.746827,12.140967,1.820790,0.407639,3.743582,0.585592,0.944472
25.499848,17.720082,12.237316,1.862742,0.431385,3.647779,0.585440,0.995772
25.599847,17.689207,12.332421,1.907059,0.455006,3.549752,0.582947,1.056041
25.699847,17.654036,12.426022,1.953803,0.480215,3.451707,0.577450,1.114247
25.799846,17.614412,12.517826,2.003164,0.507272,3.354609,0.568560,1.168913
25.899845,17.570184,12.607501,2.055301,0.535638,3.260714,0.556129,1.235233
25.999845,17.521218,12.694678,2.110310,0.564556,3.172265,0.539945,1.315489
26.099844,17.467413,12.778952,2.168141,0.590186,3.099285,0.515029,1.397580
26.199844,17.408731,12.859906,2.228311,0.613910,3.035783,0.468625,1.372387
26.299843,17.345192,12.937103,2.291051,0.641466,2.966417,0.414320,1.358417
26.399843,17.276833,13.010066,2.356703,0.671983,2.894546,0.370094,1.356357
26.499842,17.203730,13.078272,2.425506,0.704234,2.823632,0.356064,1.367284
26.599841,17.126012,13.141165,2.497405,0.728998,2.772343,0.341606,1.348901
26.699841,17.043921,13.198233,2.571094,0.745848,2.738886,0.347075,1.304605
26.799840,16.957805,13.249020,2.646776,0.768725,2.695197,0.346964,1.275611
26.899840,16.868043,13.293039,2.725004,0.796522,2.644613,0.350310,1.261903
26.999839,16.775063,13.329773,2.806193,0.827652,2.590947,0.360270,1.238663
27.099838,16.679367,13.358696,2.890315,0.846470,2.559920,0.364186,1.206781
27.199838,16.581570,13.379432,2.975055,0.850006,2.554203,0.362218,1.192371
27.299837,16.482365,13.391782,3.060649,0.863437,2.532798,0.365130,1.195169
27.399837,16.382467,13.395523,3.148051,0.886045,2.497846,0.363881,1.161343
27.499836,16.282631,13.390403,3.238124,0.916587,2.452647,0.356622,1.136852
27.599835,16.183685,13.376169,3.330992,0.921685,2.445315,0.343020,1.131070
27.699835,16.086459,13.352921,3.420851,0.876093,2.513069,0.349184,1.125467
27.799834,15.991638,13.321249,3.506387,0.835738,2.577490,0.353485,1.099928
27.899834,15.899792,13.281766,3.588257,0.803072,2.633068,0.351903,1.091124
27.999833,15.811412,13.235034,3.667313,0.779675,2.674955,0.347525,1.097484
28.099832,15.726942,13.181554,3.744373,0.757099,2.717157,0.349594,1.098244
28.199832,15.646752,13.121846,3.818243,0.720226,2.790213,0.346070,1.091954
28.299831,15.571065,13.056521,3.888440,0.683989,2.867571,0.341658,1.098556
28.399831,15.500020,12.986173,3.955124,0.650240,2.945245,0.373923,1.117014
28.499830,15.433697,12.911353,4.018615,0.620299,3.019297,0.400239,1.142651
28.599829,15.372142,12.832562,4.079312,0.593250,3.090873,0.421307,1.065274
28.699829,15.315365,12.750261,4.137188,0.564267,3.172958,0.445351,1.002443
28.799828,15.263319,12.664887,4.192182,0.535786,3.252421,0.467615,0.951824
28.899828,15.215920,12.576847,4.244391,0.508672,3.330238,0.485625,0.911571
28.999827,15.173060,12.486509,4.293983,0.483557,3.406867,0.499722,0.862541
29.099826,15.134618,12.394204,4.341141,0.458351,3.482408,0.510151,0.803299
29.199826,15.100442,12.300234,4.385504,0.428854,3.557553,0.525282,0.753222
29.299825,15.070325,12.204885,4.426909,0.399299,3.634135,0.539661,0.710983
29.399825,15.044039,12.108408,4.465380,0.370226,3.712309,0.550995,0.676772
29.499824,15.021343,12.011024,4.500983,0.342005,3.792006,0.559485,0.657167
29.599823,15.001991,11.912919,4.533862,0.317489,3.873032,0.565300,0.642176
29.699823,14.985766,11.814248,4.564647,0.298176,3.954504,0.568558,0.631251
29.799822,14.972491,11.715137,4.593496,0.278813,4.035184,0.579438,0.624005
29.899822,14.961983,11.615695,4.620413,0.259575,4.115150,0.588165,0.614668
29.999821,14.954060,11.516012,4.645419,0.240587,4.194573,0.594757,0.606223
30.099820,14.948537,11.416167,4.668520,0.220642,4.273540,0.599343,0.600627
30.199820,14.945217,11.316225,4.689466,0.198280,4.352325,0.602063,0.597584
30.299819,14.943879,11.216236,4.708174,0.175869,4.431355,0.604089,0.595622
30.399819,14.944300,11.116238,-1.558544,0.153499,4.510504,0.607175,0.591677
30.499818,14.946255,11.016259,-1.544309,0.131219,4.589602,0.608904,0.589446
30.599817,14.949522,10.916313,-1.532292,0.109322,4.668447,0.609441,0.588649
30.699817,14.953882,10.816409,-1.522428,0.087944,4.746786,0.608958,0.589019
30.799816,14.959121,10.716548,-1.514704,0.066534,4.824354,0.607631,0.599188
30.899816,14.965023,10.616723,-1.509122,0.045117,4.900924,0.606110,0.618688
30.999815,14.971376,10.516925,-1.505681,0.023701,4.976239,0.604152,0.638432
31.099814,14.977966,10.417143,-1.504379,0.002413,5.050018,0.601934,0.658170
31.199814,14.984580,10.317363,-1.505190,-0.018638,5.121780,0.599663,0.677662
31.299813,14.991008,10.217570,-1.508107,-0.039689,5.190907,0.597553,0.687455
31.399813,14.997039,10.117753,-1.513128,-0.060732,5.257016,0.595757,0.689159
31.499812,15.002465,10.017901,-1.520252,-0.081751,5.258462,0.594570,0.690259
31.599811,15.007074,9.918008,-1.529496,-0.103883,5.135634,0.594232,0.690578
31.699811,15.010643,9.818073,-1.541102,-0.128252,5.014883,0.595003,0.689934
31.799810,15.012930,9.718101,-1.555150,-0.152717,4.896795,0.596874,0.687087
31.899810,15.013690,9.618105,4.711537,-0.177256,4.781862,0.599586,0.677908
31.999809,15.012678,9.518112,4.692584,-0.201804,4.670485,0.604313,0.667317
32.099808,15.009649,9.418161,4.671250,-0.222206,4.561062,0.611392,0.655128
