# vehicle: f110_demo
# optimisation: mincurv_iqp
# lap_time_s: 7.2125
# raceline_length_m: 31.3272
# generated: 2026-07-24 22:33:46
# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2;dist_left_m;dist_right_m
26.623132;-5.242176;1.847577;1.897271;0.350483;3.939586;-3.907146;0.713739;0.563133
26.723219;-5.336380;1.813785;1.933547;0.374470;3.839040;-3.802589;0.704466;0.605906
26.823306;-5.429251;1.776487;1.972240;0.399096;3.738589;-3.670914;0.694605;0.654643
26.923393;-5.520557;1.735508;2.013565;0.426888;3.638987;-3.560998;0.681997;0.710896
27.023480;-5.610027;1.690665;2.057728;0.455728;3.539690;-3.520301;0.666500;0.769761
27.123567;-5.697358;1.641789;2.104798;0.483711;3.438711;-2.534353;0.657683;0.838316
27.223654;-5.782226;1.588753;2.154240;0.504519;3.364138;-2.475407;0.647498;0.918368
27.323741;-5.864307;1.531500;2.205834;0.526646;3.289667;-3.326108;0.633940;1.012062
27.423828;-5.943257;1.470002;2.259704;0.552217;3.186865;-3.529835;0.616822;1.117865
27.523915;-6.018672;1.404221;2.317192;0.597125;3.074009;-3.489959;0.602397;1.217492
27.624002;-6.090020;1.334052;2.379328;0.644852;2.958197;-3.094073;0.584541;1.339574
27.724089;-6.156692;1.259429;2.446297;0.691251;2.851592;-1.930522;0.562732;1.417136
27.824176;-6.218058;1.180388;2.517065;0.723744;2.783009;-1.993407;0.538527;1.487720
27.924263;-6.273540;1.097113;2.591321;0.760664;2.710371;-1.863594;0.513830;1.567298
28.024350;-6.322523;1.009861;2.669408;0.798758;2.640656;-1.504813;0.483471;1.576770
28.124437;-6.364389;0.918980;2.750959;0.832419;2.582991;-1.720844;0.450107;1.605034
28.224523;-6.398539;0.824931;2.836321;0.874566;2.515427;-1.434000;0.415554;1.613010
28.324610;-6.424330;0.728259;2.926175;0.913091;2.457707;1.486864;0.375183;1.605407
