# vehicle: f110_demo
# optimisation: mincurv_iqp
# lap_time_s: 10.8188
# raceline_length_m: 46.9908
# generated: 2026-07-24 22:33:46
# s_m;x_m;y_m;psi_rad;kappa_radpm;vx_mps;ax_mps2;dist_left_m;dist_right_m
36.481698;-4.443379;3.146226;1.596880;-0.001091;6.549069;-6.999648;1.155132;0.516147
36.631828;-4.593459;3.142319;1.596817;0.001061;6.441207;-6.987279;1.167201;0.512253
36.781959;-4.743538;3.138380;1.597405;0.006778;6.331704;-6.959558;1.175903;0.518069
36.932090;-4.893613;3.134286;1.598852;0.012495;6.220720;-6.919900;1.184394;0.524055
37.082220;-5.043679;3.129914;1.601156;0.018191;6.108369;-6.871900;1.186254;0.531176
37.232351;-5.193734;3.125130;1.604310;0.023818;5.994714;-6.817681;1.180242;0.539985
37.382481;-5.343770;3.119810;1.608308;0.029445;5.879786;-6.755100;1.173750;0.549370
37.532612;-5.493781;3.113828;1.613156;0.035393;5.763652;-6.671227;1.166288;0.548451
37.682742;-5.643757;3.107044;1.619006;0.042547;5.646616;-6.584015;1.157455;0.536259
37.832873;-5.793689;3.099303;1.625931;0.049703;5.528682;-6.495323;1.147785;0.525014
37.983003;-5.943556;3.090444;1.633931;0.056920;5.409818;-6.404069;1.141747;0.517767
38.133133;-6.093344;3.080304;1.643037;0.064381;5.290010;-6.316978;1.149656;0.514260
38.283264;-6.243025;3.068716;1.653263;0.071849;5.169111;-6.210336;1.156144;0.512242
38.433393;-6.392574;3.055515;1.664628;0.080586;5.047432;-5.992121;1.160821;0.526239
38.583523;-6.541950;3.040493;1.677785;0.094693;4.927180;-5.770280;1.157704;0.551810
38.733654;-6.691097;3.023347;1.693062;0.108824;4.808538;-5.546421;1.152757;0.579954
38.883785;-6.839943;3.003768;1.710463;0.123134;4.691673;-5.304641;1.145769;0.602475
39.033915;-6.988401;2.981439;1.730089;0.138339;4.577110;-5.069489;1.138670;0.624742
39.184045;-7.136363;2.956031;1.752005;0.153620;4.464881;-4.843011;1.129798;0.650759
39.334176;-7.283698;2.927218;1.776217;0.169045;4.354965;-4.607562;1.118240;0.675530
39.484307;-7.430255;2.894673;1.802811;0.185275;4.247753;-4.383794;1.106454;0.704212
39.634437;-7.575849;2.858066;1.831858;0.201693;4.143173;-4.185301;1.097927;0.739267
39.784568;-7.720266;2.817066;1.863373;0.217997;4.040804;-4.035286;1.086042;0.788306
39.934698;-7.863264;2.771365;1.897271;0.233655;3.939586;-3.907146;1.070609;0.844699
40.084829;-8.004570;2.720677;1.933547;0.249647;3.839040;-3.802589;1.056699;0.908859
40.234959;-8.143876;2.664731;1.972240;0.266064;3.738589;-3.670914;1.041907;0.981964
40.385089;-8.280836;2.603262;2.013565;0.284592;3.638987;-3.560998;1.022995;1.066344
40.535220;-8.415040;2.535998;2.057728;0.303819;3.539690;-3.520301;0.999750;1.154642
40.685350;-8.546037;2.462683;2.104798;0.322474;3.438711;-2.534353;0.986525;1.257474
40.835481;-8.673339;2.383129;2.154240;0.336346;3.364138;-2.475407;0.971247;1.377552
40.985611;-8.796461;2.297250;2.205834;0.351097;3.289667;-3.326108;0.950910;1.518093
41.135742;-8.914886;2.205003;2.259704;0.368145;3.186865;-3.529835;0.925233;1.676798
41.285872;-9.028008;2.106332;2.317192;0.398083;3.074009;-3.489959;0.903595;1.826238
41.436003;-9.135030;2.001078;2.379328;0.429901;2.958197;-3.094073;0.876811;2.009361
41.586134;-9.235038;1.889143;2.446297;0.460834;2.851592;-1.930522;0.844098;2.125704
41.736264;-9.327087;1.770582;2.517065;0.482496;2.783009;-1.993407;0.807790;2.231580
41.886395;-9.410310;1.645669;2.591321;0.507109;2.710371;-1.863594;0.770745;2.350947
42.036525;-9.483785;1.514791;2.669408;0.532505;2.640656;-1.504813;0.725206;2.365155
42.186656;-9.546584;1.378470;2.750959;0.554946;2.582991;-1.720844;0.675160;2.407551
42.336785;-9.597809;1.237397;2.836321;0.583044;2.515427;-1.434000;0.623331;2.419515
42.486915;-9.636495;1.092388;2.926175;0.608727;2.457707;1.486864;0.562774;2.408111
